code,display
AMB,Ambulatory
EMER,Emergency
FLD,Field
HH,Home health
IMP,Inpatient encounter
ACUTE,Inpatient acute
NONAC,Inpatient non-acute
OBSENC,Observation encounter
PRENC,Pre-admission
SS,Short stay
VR,Virtual
